번호,학년,장소명,주소,추천이유
147,4학년,뽑차코,,여기는 아이들이 좋아하는 인형뽑기 집이다.여기는 생긴지 5개월 쯤 되서 인형도 깨끗하고 인형이 많다. 단점은 잘 안 뽑인다. 그래도 1번 하면 기분이 좋아지니 1번은 해보면 좋겠다.
148,4학년,명가통닭,,여기는 제가 제일 좋아하는 음식을 파는 통닭집 이에요. 사장님도 착하신데 정신이 없고 밤에가면 아저씨들이 많아요. 여기에 가면 2개는 시켜줘야해요. 통닭 1양이 적기 때문이에요.
149,4학년,용두문화복지센터,,1층에 들어가자마자 천장이 높고  영화관같은 계단식의 쾌적한 도서관이 있어서 책읽으며 쉬기 좋다.
150,4학년,뽀꼬팡,서울 동대문구 전농동 620-60 뽀꼬팡,가족이나 친구들과 함께 인형뽑기 할 수 있는 곳이다. 하다보면 스트레스도 없어지고 인형도 뽑고 기분이 좋아진다.
151,4학년,선농단역사문화관,,"일제강점기이후 역사를 배울 수 있고 누구나 즐겁게 참여할 수 있는 윷놀이, 제기차 기, 투호, 칠교놀이 등 다양한 전통 놀이 체험은 물론이고, 농경 사회의 핵심 요소인 모내기 체험까지 풍성하게 마련되어 있으니 가족들과 혹은 연인들, 친구들과 같이 방문하여 체험하기 좋다."
152,4학년,푸르미르공원,서울 동대문구 용두동 7-4 푸르미르공원,가족과 산책하기 좋고 중간 중간에 쉼터가 마련되어 있어 쉬기도 좋다. 강아지들이 산책을 많이 나와서 귀염둥이들을 만날 수 있다.
153,4학년,서울약령시한의약박물관,,케더헌때문에 유명해진 한의학 박물관 전시관도 좋고 족욕체험까지 할수 있다
154,4학년,전여사,,전을 싫어하는 사람도 반할집!! 바로 전여사 여기는 알바 분이 한면이라 정신이 없긴 하지만 특히 김치전이 제일 맛있어요. 꼭 드셔보세요.
155,5학년,장안1 수변공원 물놀이장,서울시 동대문구 장안동 19-6(장안1수변공원),"여름에는 물놀이, 겨울에는 눈썰매를 탈수 있어요. 더워지는 여름에는 시원하게 물놀이를, 겨울에는 신나게 눈썰매도 타고 다양한 놀이체험과 놀이기구도 탈수있고, 간식거리도 팔아서 놀다가 배고파질때쯤 사먹으면 꿀맛! 올 여름방학때 꼭 한번 가보세요. 물놀이정보는 구청에서 알려줘요.^^"
156,5학년,글로벌지식협력단지,서울 동대문구 회기로47 글로벌지식협력단지,"우리나라의 경제발전 과정을 직접 보고 체험할수 있어요. 초등저학년은 어린이체험관에서, 고학년부터는 다양한 체험프로그램으로 쉽게 경제지식을 알수 있게 해줘요."
157,5학년,지식의 꽃밭,,서울시립동대문도서관 부지로 지금은 지식의 꽃밭이라는 이름의 공원으로 이용되고있어요
158,5학년,배봉산숲속도서관,서울 동대문구 전농로 16길 97,배봉산 숲속 도서관은 배봉산 둘레길입구에 자리잡고있어 자연을 느끼며 책도 볼 수 있는 곳이에요
159,5학년,DDP역사문화공원,서울특별시 중구 을지로 281,다양한 전시와 체험활동을 할수있다.
160,5학년,간데메공원,,생태활동을 관찰할수있다. 뛰어놀며 편하고 여유로운 시간을 보낼수있다.
161,5학년,청계천박물관,,청계천과 그외 지역의 역사를 알수있다
162,5학년,용두공원,,산책로가 잘 되어있고 아이들 놀이시설도있다
163,5학년,동대문구 답십리 도서관,,독서활동을 할수있다.
164,5학년,홍릉숲(국립산림과학원,서울 동대문구 회기로 57,"숲을 걸으며 산책할수 있어요. 걷는길에 청솔모도 만날수 있어요. 숲나들e예약을 하고 가면 숲코스도 고를수 있고,홍릉숲의 역사와 식물이야기를 들으며 산책을 할수 있어요. 동대문구에서 열리는 한마음걷기대회에 참여하면 평상시 개방되지않는 홍릉숲의 길을 걸을수 있어요."
165,5학년,용두공원,서울 동대문구 청계천로 563,"산책로와 스마트쉼터,잔디밭등이 있어 더위를 피하고 놀이할수 있다"
166,5학년,서울풍물시장,서울 동대문구 천호대로4길 21 서울풍물시장,풍물시장에는 옛날 물건부터 각가지의 신기한 물건과 중고 물건을 살수있다
